Year,Zip Code,Population,Veteran Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,Two or More Races,Not Hispanic or Latino Origin,Hispanic or Latino Origin,Renter Population,Population in Poverty,Population with Disability,Senior Population (60y+),Households Receiving SNAP,Median Income,Youth Population,Population_Below_50_FPL,Population_Below_100_FPL,Population_Below_150_FPL,Population_Below_200_FPL,LIHEAP Request,Male Population,Female Population,Gini Coefficient,Percentage High School or Less,Percentage Some College or Less,Median Home Value,Median Gross Rent,Percentage of Renter Occupied,Rental Vacancy Rate,Total Housing Units,Percentage Overcrowded,Percentage One Person HH,Percetange Pre 1940,Median Electric Cost,Median Gas Cost,Median Water/Sewage Cost,Civilian Labor Force,Employed,Unemployed,Labor Force Participation Rate,Unemployment Rate
2023,91917,889,23,601,15,9,,,116,148,561,328,220,351,65,,21,157941,355,146,311,351,354,,411,478,0.3912,0.315151515,0.466666667,756500,1543,0.224576271,0.299703264,337,0.093220339,0.038135593,0.305637982,236,236,236,294,288,6,0.623263889,0.020408163
2023,91931,735,,514,,,,,206,15,529,206,268,57,32,,123,49808,186,57,57,57,293,,342,393,0.2394,0.393442623,0.564663024,,,0.217857143,0.159159159,333,,0.371428571,0.057057057,280,280,280,275,254,21,0.500910747,0.076363636
2023,91932,25897,1654,12669,1185,133,1765,59,3498,6588,12752,13145,17223,6293,3104,,1233,79071,5622,2660,3938,6293,8596,643,13417,12480,0.4406,0.389722473,0.513255866,811000,1914,0.693382037,0.094200078,10276,0.106145251,0.25698324,0.019268198,9308,9308,9308,13702,12643,1059,0.696351623,0.077287987
2023,91934,1265,209,948,,,,,233,84,700,565,758,549,390,,45,50797,164,360,549,549,585,,619,646,0.3778,0.284842319,0.631739573,353000,2202,0.552752294,,436,,0.071100917,0.105504587,436,436,436,592,508,84,0.537693006,0.141891892
2023,91935,9466,770,7153,76,97,136,19,415,1570,7185,2281,811,619,1242,,135,138953,2196,240,315,619,1093,,4957,4509,0.3913,0.336781439,0.415398256,845400,2196,0.085675584,0.049259498,3106,0.024381984,0.162207924,0.01931745,2953,2953,2953,3976,3898,78,0.535298058,0.019617706
2023,91941,33706,2752,21585,2385,179,1740,147,2499,5171,24903,8803,11653,4548,3937,8750,1010,111607,6701,943,2347,4548,6093,1500,16388,17318,0.4111,0.185278466,0.280700329,884800,2067,0.344786823,0.042339623,13250,0.045393648,0.201985972,0.057433962,12689,12689,12689,17317,16401,916,0.636298345,0.052895998
2023,91942,40920,2604,25146,2979,231,2866,87,2665,6946,29866,11054,20405,7168,5209,9093,1400,81262,8445,2484,5076,7168,10572,2513.26,19408,21512,0.4516,0.216482663,0.309902427,689300,1934,0.559829303,0.049383384,18488,0.051778094,0.383897582,0.023691043,17575,17575,17575,21919,20450,1469,0.685954143,0.067019481
2023,91945,27531,2137,9939,4099,562,2616,123,4373,5819,15404,12127,11921,5330,3744,,1528,79381,5983,1081,2790,5330,7434,5740.43,13779,13752,0.4179,0.36211327,0.51218008,640500,1769,0.466029724,0.030365414,9715,0.062101911,0.240976645,0.024292331,9420,9420,9420,13981,12942,1039,0.64820803,0.074315142
2023,91948,123,16,123,,,,,,,123,,,16,16,,,,,,16,16,33,,55,68,0.2523,,0.307692308,273400,,,0.642335766,137,0.346938776,0.326530612,,49,49,49,49,32,17,0.398373984,0.346938776
2023,91950,57173,2550,18533,2467,723,9404,227,13325,12494,18900,38273,33101,15123,7053,12340,3547,63858,13262,3524,8017,15123,21582,3002,27609,29564,0.4325,0.477036429,0.604677432,580700,1600,0.647819063,0.057640821,19049,0.176926077,0.225837001,0.084256391,17951,17951,17951,28087,25936,2151,0.639676291,0.076583473
